{14}      	{7}       	7.60	29.69
{7}       	{14}      	7.60	31.67
{2}       	{4}       	8.60	32.58
{4}       	{2}       	8.60	34.96
{18}      	{5}       	9.80	35.51
{5}       	{18}      	9.80	38.89
{18}      	{2}       	8.60	31.16
{2}       	{18}      	8.60	32.58
{2}       	{5}       	6.80	25.76
{5}       	{2}       	6.80	26.98
{18}      	{4}       	7.80	28.26
{4}       	{18}      	7.80	31.71
{4}       	{5}       	8.80	35.77
{5}       	{4}       	8.80	34.92
{1}       	{18}      	8.00	26.85
{18}      	{1}       	8.00	28.99
{1}       	{5}       	10.00	33.56
{5}       	{1}       	10.00	39.68
{1}       	{2}       	9.00	30.20
{2}       	{1}       	9.00	34.09
{1}       	{4}       	9.20	30.87
{4}       	{1}       	9.20	37.40
{2}       	{11}      	6.80	25.76
{11}      	{2}       	6.80	24.82
{16}      	{15}      	13.80	32.55
{15}      	{16}      	13.80	49.29
{16}      	{13}      	13.80	32.55
{13}      	{16}      	13.80	46.62
{4}       	{7}       	6.40	26.02
{7}       	{4}       	6.40	26.67
{16}      	{1}       	16.20	38.21
{1}       	{16}      	16.20	54.36
{2}       	{7}       	6.00	22.73
{7}       	{2}       	6.00	25.00
{1}       	{11}      	7.40	24.83
{11}      	{1}       	7.40	27.01
{2}       	{15}      	8.60	32.58
{15}      	{2}       	8.60	30.71
{15}      	{7}       	6.00	21.43
{7}       	{15}      	6.00	25.00
{1}       	{15}      	10.80	36.24
{15}      	{1}       	10.80	38.57
{16}      	{7}       	9.80	23.11
{7}       	{16}      	9.80	40.83
{1}       	{7}       	7.00	23.49
{7}       	{1}       	7.00	29.17
{4}       	{13}      	8.60	34.96
{13}      	{4}       	8.60	29.05
{16}      	{2}       	13.60	32.08
{2}       	{16}      	13.60	51.52
{4}       	{15}      	8.00	32.52
{15}      	{4}       	8.00	28.57
{2}       	{13}      	8.80	33.33
{13}      	{2}       	8.80	29.73
{11}      	{4}       	7.60	27.74
{4}       	{11}      	7.60	30.89
{13}      	{15}      	9.20	31.08
{15}      	{13}      	9.20	32.86
{11}      	{7}       	8.00	29.20
{7}       	{11}      	8.00	33.33
{16}      	{4}       	10.60	25.00
{4}       	{16}      	10.60	43.09
{16}      	{11}      	12.20	28.77
{11}      	{16}      	12.20	44.53
{11}      	{13}      	9.80	35.77
{13}      	{11}      	9.80	33.11
{11}      	{15}      	9.80	35.77
{15}      	{11}      	9.80	35.00
{1}       	{13}      	10.20	34.23
{13}      	{1}       	10.20	34.46
{13}      	{7}       	7.60	25.68
{7}       	{13}      	7.60	31.67
{19}      	{14}      	6.40	26.67
{14}      	{19}      	6.40	25.00
{9}       	{14}      	8.60	30.94
{14}      	{9}       	8.60	33.59
{9}       	{12}      	7.60	27.34
{12}      	{9}       	7.60	31.15
{9}       	{15}      	8.40	30.22
{15}      	{9}       	8.40	30.00
{11}      	{14}      	7.40	27.01
{14}      	{11}      	7.40	28.91
{6}       	{7}       	5.60	24.78
{7}       	{6}       	5.60	23.33
{18}      	{12}      	6.80	24.64
{12}      	{18}      	6.80	27.87
{19}      	{12}      	7.20	30.00
{12}      	{19}      	7.20	29.51
{19}      	{15}      	7.00	29.17
{15}      	{19}      	7.00	25.00
{9}       	{19}      	6.40	23.02
{19}      	{9}       	6.40	26.67
{6}       	{15}      	7.80	34.51
{15}      	{6}       	7.80	27.86
{19}      	{11}      	7.60	31.67
{11}      	{19}      	7.60	27.74
{9}       	{7}       	6.80	24.46
{7}       	{9}       	6.80	28.33
{9}       	{11}      	7.80	28.06
{11}      	{9}       	7.80	28.47
{19}      	{7}       	5.60	23.33
{7}       	{19}      	5.60	23.33
{12}      	{7}       	5.60	22.95
{7}       	{12}      	5.60	23.33
{11}      	{12}      	5.80	21.17
{12}      	{11}      	5.80	23.77
{14}      	{15}      	8.40	32.81
{15}      	{14}      	8.40	30.00
{18}      	{14}      	7.40	26.81
{14}      	{18}      	7.40	28.91
{18}      	{19}      	10.40	37.68
{19}      	{18}      	10.40	43.33
{14}      	{6}       	6.40	25.00
{6}       	{14}      	6.40	28.32
{9}       	{18}      	9.40	33.81
{18}      	{9}       	9.40	34.06
{18}      	{11}      	7.60	27.54
{11}      	{18}      	7.60	27.74
{18}      	{15}      	7.60	27.54
{15}      	{18}      	7.60	27.14
{11}      	{6}       	7.40	27.01
{6}       	{11}      	7.40	32.74
{9}       	{6}       	6.80	24.46
{6}       	{9}       	6.80	30.09
{18}      	{7}       	7.00	25.36
{7}       	{18}      	7.00	29.17
{12}      	{6}       	6.00	24.59
{6}       	{12}      	6.00	26.55
{18}      	{6}       	7.20	26.09
{6}       	{18}      	7.20	31.86
{19}      	{6}       	6.20	25.83
{6}       	{19}      	6.20	27.43
{12}      	{14}      	7.80	31.97
{14}      	{12}      	7.80	30.47
{12}      	{15}      	8.20	33.61
{15}      	{12}      	8.20	29.29
{8}       	{2}       	13.40	29.65
{2}       	{8}       	13.40	50.76
{2}       	{3}       	7.20	27.27
{3}       	{2}       	7.20	24.00
{8}       	{7}       	11.60	25.66
{7}       	{8}       	11.60	48.33
{3}       	{4}       	8.40	28.00
{4}       	{3}       	8.40	34.15
{16}      	{17}      	13.00	30.66
{17}      	{16}      	13.00	54.62
{1}       	{19}      	6.80	22.82
{19}      	{1}       	6.80	28.33
{2}       	{19}      	7.80	29.55
{19}      	{2}       	7.80	32.50
{8}       	{3}       	25.80	57.08
{3}       	{8}       	25.80	86.00
{17}      	{19}      	7.20	30.25
{19}      	{17}      	7.20	30.00
{17}      	{7}       	5.40	22.69
{7}       	{17}      	5.40	22.50
{8}       	{4}       	11.80	26.11
{4}       	{8}       	11.80	47.97
{3}       	{19}      	7.20	24.00
{19}      	{3}       	7.20	30.00
{16}      	{3}       	25.20	59.43
{3}       	{16}      	25.20	84.00
{17}      	{3}       	7.60	31.93
{3}       	{17}      	7.60	25.33
{17}      	{2}       	6.60	27.73
{2}       	{17}      	6.60	25.00
{3}       	{7}       	7.40	24.67
{7}       	{3}       	7.40	30.83
{1}       	{17}      	6.80	22.82
{17}      	{1}       	6.80	28.57
{16}      	{8}       	30.20	71.23
{8}       	{16}      	30.20	66.81
{19}      	{4}       	6.60	27.50
{4}       	{19}      	6.60	26.83
{16}      	{19}      	11.80	27.83
{19}      	{16}      	11.80	49.17
{8}       	{19}      	13.20	29.20
{19}      	{8}       	13.20	55.00
{8}       	{1}       	15.40	34.07
{1}       	{8}       	15.40	51.68
{17}      	{4}       	5.60	23.53
