	buying	maint	doors	persons	lug_boot	safety	car_evaluation
0	med	vhigh	2	4	med	med	unacc
1	low	high	4	4	small	low	unacc
2	high	vhigh	4	4	med	med	unacc
3	high	vhigh	4	more	big	low	unacc
4	low	high	3	more	med	low	unacc
5	med	high	2	more	small	high	unacc
6	vhigh	low	3	2	med	high	unacc
7	med	high	2	4	small	low	unacc
8	med	low	5more	4	small	med	acc
9	med	low	5more	2	big	med	unacc
10	med	low	4	more	big	high	vgood
11	low	low	4	2	big	high	unacc
12	low	low	3	more	med	low	unacc
13	high	med	2	2	big	high	unacc
14	high	low	4	more	small	low	unacc
15	med	vhigh	3	4	med	med	unacc
16	low	low	3	more	small	high	good
17	vhigh	med	2	more	med	med	unacc
18	vhigh	low	4	more	big	high	acc
19	vhigh	low	2	2	small	high	unacc
20	high	high	5more	2	big	med	unacc
21	high	med	5more	2	med	low	unacc
22	med	med	3	2	big	high	unacc
23	low	vhigh	5more	2	small	low	unacc
24	vhigh	vhigh	3	more	small	high	unacc
25	low	high	2	more	big	med	acc
26	vhigh	vhigh	5more	more	small	high	unacc
27	high	low	5more	4	small	med	unacc
28	low	med	4	2	big	low	unacc
29	med	vhigh	3	2	small	med	unacc
30	med	high	4	more	small	med	unacc
31	vhigh	low	4	4	big	low	unacc
32	high	low	5more	4	big	med	acc
33	low	vhigh	3	more	small	med	unacc
34	vhigh	low	5more	2	small	low	unacc
35	low	vhigh	2	2	med	med	unacc
36	med	med	4	4	big	low	unacc
37	med	high	4	more	big	high	acc
38	high	high	5more	4	big	high	acc
39	med	vhigh	4	more	med	low	unacc
40	low	med	3	4	small	high	good
41	vhigh	med	3	2	med	low	unacc
42	med	high	5more	more	big	med	acc
43	med	med	2	4	small	high	good
44	high	high	3	2	med	med	unacc
45	high	med	4	4	med	high	acc
46	vhigh	high	5more	2	small	high	unacc
47	vhigh	vhigh	3	4	med	high	unacc
48	low	low	2	more	med	high	good
49	vhigh	high	4	2	med	high	unacc
50	high	vhigh	3	4	small	low	unacc
51	vhigh	med	4	4	med	med	acc
52	vhigh	vhigh	2	4	med	low	unacc
53	med	med	5more	4	med	low	unacc
54	high	med	5more	more	big	low	unacc
55	low	vhigh	3	2	small	low	unacc
56	low	med	3	2	big	med	unacc
57	vhigh	med	3	2	small	high	unacc
58	vhigh	high	3	more	med	med	unacc
59	vhigh	low	3	2	big	high	unacc
60	high	high	2	2	small	high	unacc
61	low	vhigh	4	4	small	high	acc
62	med	low	5more	2	small	low	unacc
63	med	high	2	2	big	low	unacc
64	med	high	2	4	big	low	unacc
65	high	vhigh	2	more	small	med	unacc
66	med	med	3	2	med	med	unacc
67	med	low	2	more	med	high	good
68	high	med	4	more	med	med	acc
69	low	med	4	4	small	low	unacc
70	med	med	3	2	med	low	unacc
71	high	med	3	2	med	med	unacc
72	high	vhigh	5more	more	med	med	unacc
73	high	vhigh	2	2	small	med	unacc
74	vhigh	vhigh	4	more	small	low	unacc
75	low	low	4	more	big	high	vgood
76	low	low	5more	2	big	high	unacc
77	vhigh	med	2	4	big	low	unacc
78	vhigh	med	2	2	small	high	unacc
79	vhigh	high	5more	more	small	high	unacc
80	vhigh	low	5more	2	med	low	unacc
81	low	low	2	2	med	med	unacc
82	high	low	3	4	med	med	acc
83	low	low	4	4	big	high	vgood
84	high	vhigh	2	more	med	low	unacc
85	high	high	4	more	big	high	acc
86	med	vhigh	2	2	small	high	unacc
87	high	high	2	2	med	low	unacc
88	med	med	4	more	small	low	unacc
89	med	med	4	more	med	med	acc
90	high	low	4	4	big	high	acc
91	high	low	5more	4	small	low	unacc
92	low	low	3	2	small	high	unacc
93	med	low	2	4	big	high	vgood
94	low	high	2	4	small	high	good
95	med	med	2	2	big	high	unacc
96	vhigh	high	5more	more	big	high	unacc
97	vhigh	med	4	more	big	low	unacc
98	low	vhigh	4	more	small	med	unacc
99	high	low	4	2	big	low	unacc
100	med	vhigh	5more	4	small	high	acc
101	high	high	4	more	small	med	unacc
102	high	med	4	2	med	high	unacc
103	med	vhigh	2	more	med	low	unacc
104	vhigh	low	3	2	small	med	unacc
105	low	med	5more	4	small	med	acc
106	med	vhigh	4	2	med	high	unacc
107	med	vhigh	3	2	small	low	unacc
108	vhigh	med	4	2	big	high	unacc
109	high	vhigh	3	2	small	low	unacc
110	med	high	5more	2	small	med	unacc
111	low	vhigh	5more	2	big	med	unacc
112	med	med	3	2	big	low	unacc
113	high	vhigh	3	4	big	med	unacc
114	vhigh	vhigh	5more	more	small	low	unacc
115	high	vhigh	4	4	med	high	unacc
116	med	high	3	more	small	low	unacc
117	vhigh	vhigh	3	4	small	low	unacc
118	low	vhigh	2	more	small	low	unacc
119	med	vhigh	3	more	small	high	acc
120	med	low	5more	more	big	high	vgood
121	high	high	4	more	big	med	acc
122	low	low	2	more	big	med	good
123	low	high	4	4	small	high	acc
124	vhigh	low	3	4	small	high	acc
125	vhigh	vhigh	2	2	small	med	unacc
126	vhigh	high	3	more	small	high	unacc
127	low	med	2	more	small	high	unacc
128	low	vhigh	4	2	med	med	unacc
129	vhigh	low	3	2	big	med	unacc
